Check ID,Record,Package Requirement,Required Source or Evidence,Status,Verified By,Verification Date,Routing Gate,Next Action,Owner,Due Date,Coordinator Note
CP-001,PCN-002,Unique change identifier and title,PCN-002 change log entry,Complete,Project Coordinator,2026-10-09,Administrative completeness,Maintain identifier across all records,Project Coordinator,2026-10-09,"Title matches change log: concealed corrosion at support seats"
CP-002,PCN-002,Documented source condition,RFI-027 and field observation record,Complete,Project Coordinator,2026-10-09,Technical review,Link engineer response when issued,Structural Engineer,2026-10-13,"Source is traceable; final technical direction remains pending"
CP-003,PCN-002,Defined scope of proposed work,Contractor quotation Q-118 Rev 1,Needs review,Project Coordinator,2026-10-09,Technical review,Confirm scope matches engineer disposition,Structural Engineer,2026-10-13,"Do not treat contractor scope as approved technical direction"
CP-004,PCN-002,Detailed cost breakdown,Q-118 Rev 1 labor material equipment subcontractor backup,Complete,Project Coordinator,2026-10-09,Commercial review,Verify arithmetic and exclusions,Finance Analyst,2026-10-14,"Administrative check confirms categories and totals are present"
CP-005,PCN-002,Schedule impact statement,Eight-calendar-day time-impact narrative,Complete,Project Coordinator,2026-10-09,Schedule review,Validate logic and recovery options,Project Manager,2026-10-14,"Proposed impact is recorded but not approved"
CP-006,PCN-002,Related drawing specification and RFI references,RFI-027 structural details S-502 and S-503,Complete,Project Coordinator,2026-10-09,Technical review,Confirm governing revision,Structural Engineer,2026-10-13,"Revision reference must remain consistent in final disposition"
CP-007,PCN-002,Required safety or access impacts,Pedestrian control and work-zone note,Needs clarification,Project Coordinator,2026-10-09,Construction review,Confirm whether revised plan is required,Construction Manager,2026-10-12,"Package should not advance as complete until impact is resolved"
CP-008,PCN-002,Funding and commitment check,Commitment register and contingency summary,Complete,Project Coordinator,2026-10-09,Commercial review,Confirm available contingency,Project Manager,2026-10-14,"Coordinator records availability evidence but does not authorize funding"
CP-009,PCN-002,Review routing and authority map,Technical commercial schedule and owner reviewers,Complete,Project Coordinator,2026-10-09,Approval routing,Route only after missing items are closed,Project Coordinator,2026-10-14,"Approvers remain Structural Engineer Project Manager Finance Analyst and Owner Program Manager"
CP-010,PCN-002,Final disposition and record updates,Approved change order schedule and commitment records,Not started,Project Coordinator,,Post-approval control,Update linked records after written approval,Project Coordinator,,"No updates should imply approval before an authorized written decision"
