test_id,scenario,input_or_action,expected_outcome,automated_evidence,boundary
DI-AT-01,Initial synthetic intake set,Open Document Intake demonstration,Six fictional incoming records are visible before processing,tests/document-intake.spec.mjs,Synthetic browser demonstration
DI-AT-02,Routine and exception split,Select Process Intake Batch,Three routine records and three exceptions are displayed and Complete Routing remains disabled,tests/document-intake.spec.mjs,Preconfigured deterministic processing results
DI-AT-03,Routine batch confirmation,Select Confirm Routine Routing,Routine group changes to confirmed but routing remains blocked until all exceptions are resolved,tests/document-intake.spec.mjs,Demonstrates control logic not production permissions
DI-AT-04,Probable duplicate,Select Hold Duplicate,Duplicate remains outside the controlled library and intake history is retained,tests/document-intake.spec.mjs,No live repository write occurs
DI-AT-05,Missing required identifier,Select Create Information Request,Information request is prepared and the document remains pending rather than being guessed or routed,tests/document-intake.spec.mjs,No external email is sent
DI-AT-06,Classification requires reviewer input,Select Confirm Classification without choosing a value,Control refuses to resolve and focuses the classification selector,tests/document-intake.spec.mjs,Human decision is required
DI-AT-07,Classification confirmation,Choose Inspection Record and confirm,Classification is recorded and routing becomes eligible only after every control is satisfied,tests/document-intake.spec.mjs,Demonstrates reversible staging and human control
DI-AT-08,Controlled routing outcome,Select Complete Routing,Four records are shown as routed and two unsafe or incomplete records remain held,tests/document-intake.spec.mjs,No live Microsoft 365 integration
DI-AT-09,Reset and repeatability,Select Reset after resolving controls,Working state returns to the clean six-document starting condition,tests/document-intake.spec.mjs,Local browser state only
DI-AT-10,Responsive operating surface,Open at configured desktop tablet and mobile Playwright projects,Page does not overflow horizontally and mobile navigation remains operable,tests/document-intake.spec.mjs,Cross-browser presentation validation
DI-AT-11,Public claim boundary,Inspect demonstration notice,Page explicitly disclaims production model accuracy live Microsoft 365 integration and measured client savings,tests/document-intake.spec.mjs,Prevents demonstration behavior from being presented as production validation
