Check ID,Record,Routing Requirement,Required Source or Evidence,Status,Verified By,Verification Date,Routing Gate,Next Action,Owner,Due Date,Coordinator Note
IR-001,PA-002,Invoice identifies project vendor and billing period,Pay Application 002 cover sheet,Complete,Project Coordinator,2026-10-09,Administrative completeness,Maintain project and contract identifiers,Project Coordinator,2026-10-09,"Vendor and period match the commitment record"
IR-002,PA-002,Original and revised commitment are shown,Commitment register and approved CO-001,Complete,Project Coordinator,2026-10-09,Financial review,Confirm revised commitment of $523000,Finance Analyst,2026-10-14,"Coordinator verifies record consistency but does not approve the amount"
IR-003,PA-002,Schedule of values supports current billing,Pay application schedule of values,Complete,Project Coordinator,2026-10-09,Project review,Review progress against field status,Construction Manager,2026-10-14,"Administrative arithmetic check passed"
IR-004,PA-002,Retainage calculation is documented,Five percent retainage calculation,Complete,Project Coordinator,2026-10-09,Financial review,Verify contract retainage terms,Finance Analyst,2026-10-14,"Gross request $142500; retainage $7125; net request $135375"
IR-005,PA-002,Prior billing and total billed reconcile,PA-001 payment record and invoice tracker,Complete,Project Coordinator,2026-10-09,Financial review,Confirm no duplicate billing,Finance Analyst,2026-10-14,"Gross billed to date reconciles to $260500"
IR-006,PA-002,Approved changes are incorporated correctly,CO-001 and commitment update,Complete,Project Coordinator,2026-10-09,Financial review,Verify only approved changes are billed,Project Manager,2026-10-14,"Pending PCN-002 and PCN-003 are excluded from billing"
IR-007,PA-002,Certified payroll is attached,Certified payroll package,Missing,Project Coordinator,2026-10-09,Do not route,Submit certified payroll,General Contractor,2026-10-12,"Missing support prevents routing for payment review"
IR-008,PA-002,Conditional lien release is attached,Conditional lien release through billing period,Missing,Project Coordinator,2026-10-09,Do not route,Submit executed conditional release,General Contractor,2026-10-12,"Missing support prevents routing for payment review"
IR-009,PA-002,Field progress support is available,Progress report photographs and quantity support,Complete,Project Coordinator,2026-10-09,Project review,Confirm percent complete,Construction Manager,2026-10-14,"Coordinator confirms attachment presence only"
IR-010,PA-002,Required approvals and routing sequence are identified,Construction Manager Project Manager Finance Analyst Owner approver,Complete,Project Coordinator,2026-10-09,Approval routing,Route after IR-007 and IR-008 are complete,Project Coordinator,2026-10-12,"No payment approval authority is assigned to the coordinator"
IR-011,PA-002,Final payment record and archive update,Approved payment record and accounting reference,Not started,Project Coordinator,,Post-payment control,Record final disposition after authorized approval,Project Coordinator,,"Do not mark paid until confirmation is received from the authorized system of record"
